Exam,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Source,Difficulty
Mock Exam 3,17,"In the TSK Fuzzy Model, what is the nature of the consequent part of an IF-THEN rule?",It is always a fuzzy set.,It is a crisp mathematical polynomial function of the input variables.,It is a monotonically increasing or decreasing fuzzy set.,It is a linguistic hedge.,B,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Medium
Mock Exam 3,18,"What is the primary difference in how the Larsen Fuzzy Model generates its output
membership function compared to the Mamdani Fuzzy Model?","Larsen uses max-min composition, while Mamdani uses max-product.","Larsen scales the consequent fuzzy set by the firing strength, while Mamdani truncates (clips) it.","Larsen produces a crisp output, while Mamdani produces a fuzzy output.","Larsen only works with fuzzy inputs, while Mamdani works with crisp inputs.",B,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 3,19,"Which property ensures that the order of composition in a three-relation chain doesn't
matter, i.e., (R o S1) o T = R o (S1 o T)?",Distributivity,Commutativity,Associativity,Monotonicity,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Medium
Mock Exam 3,20,"A fuzzy relation R is considered a Fuzzy Tolerance Relation if it satisfies which two
properties?",Reflexivity and Transitivity,Symmetry and Transitivity,Reflexivity and Symmetry,Anti-reflexivity and Anti-symmetry,C,Lecture_W8L76_Lecture_38__Fuzzy_Tolerance_and_Equivalence_Relati,Medium
Mock Exam 3,21,"What is the mathematical operation for the linguistic hedge 'very' when applied to a
fuzzy set A?",µ_very_A(x) = √µ_A(x),µ_very_A(x) = 1 - µ_A(x),µ_very_A(x) = [µ_A(x)]²,µ_very_A(x) = µ_A(x) + 0.5,C,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Medium
Mock Exam 3,22,"Contrast Intensification (INT) is an operation designed to reduce the fuzziness of a set.
For membership values µA(x) in the range [0, 0.5], what is the formula for µ_INT(",(x) = √µA(x),µ_INT(,µ_INT(,µ_INT(,B,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Medium
Mock Exam 3,23,"Given two fuzzy sets A = `{0.7/1, 0.5/2}` and B = `{0.1/1, 0.8/2}`. If Yager's T-norm with
parameter `w = 1` is used to find their intersection, what is the membership value for x=1?",0.7,0.1,0,0.07,C,Lecture_W6L58_Lecture_26__Parameterized_T_Norm_Operators,Hard
Mock Exam 3,24,A fuzzy set is defined as a 'Fuzzy Number' if it satisfies which two conditions?,It is symmetric and has a bandwidth of 1.,It is normal and convex.,Its support is finite and its core is non-empty.,It is an Open Left or Open Right set.,B,Lecture_W2L28_Lecture_8__Nomenclatures_used_in_Fuzzy_Set_Theory_,Hard
Mock Exam 3,25,"The Law of Contradiction (`A ∩ A' = ∅`) and the Law of Excluded Middle (`A ∪ A' = X`)
are both violated in fuzzy set theory. What is the primary reason for these violations?","Fuzzy sets use only discrete elements, unlike crisp sets.","Fuzzy sets allow for partial membership, representing 'gray areas' where elements can partially
belong to both a set and its complement.",Fuzzy sets do not have complements defined.,Fuzzy sets always have a height less than 1.,B,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Hard
Mock Exam 3,26,"When performing fuzzy arithmetic, such as (A +",Fuzzy arithmetic is commutative.,The Extension Principle is flawed for complex operations.,Standard algebraic identities from crisp mathematics do not automatically apply to fuzzy numbers.,The Universe of Discourse was incorrectly defined.,C,Lecture_W5L52_Lecture_23__Arithmetic_Operations_on_Fuzzy_Numbers,Hard
Mock Exam 3,27,"Which of the following is NOT an axiom that a function must satisfy to be considered a
valid T-norm operator?","Boundary: T(a, 1) = a and T(a, 0) = 0.","Commutativity: T(a, b) = T(b, a).","Distributivity: T(a, T(b, c)) = T(T(a, b), T(a, c)).","Associativity: T(a, T(b, c)) = T(T(a, b), c).",C,Lecture_W5L53_Lecture_24__T_norm_Operators,Hard
Mock Exam 3,28,"Given a fuzzy relation R (on X×Y) and S (on Y×Z), what is the relationship between R o
(S1 ∩ S2) and (R o S1) ∩ (R o S2) in max-min composition?",R o (S1 ∩ S2) = (R o S1) ∩ (R o S2),R o (S1 ∩ S2) ⊃ (R o S1) ∩ (R o S2),R o (S1 ∩ S2) ⊆ (R o S1) ∩ (R o S2),There is no consistent relationship between them.,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Hard
Mock Exam 3,29,"A fuzzy relation R is a Fuzzy Equivalence Relation if it is reflexive, symmetric, and
transitive. What is the condition for transitivity?","µ_R(x, k) = µ_R(k, x) for all x, k.","µ_R(x, x) = 1 for all x.","µ_R(x, k) ≥ max(µ_R(x, j), µ_R(j, k)) for all x, j, k.","µ_R(x, k) ≥ min(µ_R(x, j), µ_R(j, k)) for all x, j, k.",D,Lecture_W8L77_Lecture_39__Fuzzy_Tolerance_and_Equivalence_Relati,Hard
Mock Exam 3,30,"To transform a Fuzzy Tolerance Relation R into a Fuzzy Equivalence Relation, the
process involves iterative self-composition (R² = R o R, R³ = R² o R, etc.) using the max-min
composition operator. This process is guaranteed to find the transitive closure in at most
how many compositions, where n is the number of elements in the set?",n,n/2,n-1,2n,C,Lecture_W8L78_Lecture_40__Fuzzy_Tolerance_and_Equivalence_Relati,Hard
Mock Exam 4,1,Which of the following best describes Fuzzy Logic?,A form of bivalent logic where propositions are strictly true or false.,A form of multi-valued logic allowing for degrees of truth between 0 and 1.,A system primarily used for modeling randomness and probability.,A subset of Machine Learning focused on deep neural networks.,B,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Easy
Mock Exam 4,2,"In the context of fuzzy sets, what does the notation `A = 0.2/16 + 0.1/17` signify?",An arithmetic sum where 0.2 is added to 16 and 0.1 is added to 17.,A collection of ordered pairs where 16 has a membership of 0.2 and 17 has a membership of 0.1.,"A division operation where 0.2 is divided by 16, and 0.1 by 17.",A continuous fuzzy set where the integral of membership values is calculated.,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Medium
Mock Exam 4,3,"Which MATLAB Fuzzy Logic Toolbox component is used for building fuzzy models
where the output is a fuzzy set?",`sugfis`,`genfis`,`mamfis`,`trimf`,C,Lecture_W1L21_Lecture_4__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 4,4,A fuzzy set where at least one element has a membership value of 1 is called a:,Subnormal Fuzzy Set,Normal Fuzzy Set,Crisp Set,Singleton Fuzzy Set,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 4,5,"What is the primary purpose of the Contrast Intensification (INT) operation in fuzzy
logic?",To increase the fuzziness of a set by pushing values towards 0.5.,To reduce the fuzziness of a set by pushing membership values towards 0 or 1.,To calculate the complement of a fuzzy set.,To combine two fuzzy sets using a T-norm operator.,B,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Easy
Mock Exam 4,6,Which of the following is NOT a component of a Fuzzy Inference System (FIS)?,Fuzzifier,Inference Engine,Defuzzifier,Probability Calculator,D,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Easy
Mock Exam 4,7,"In a Mamdani Fuzzy Model, if a rule has multiple antecedents connected by 'AND', how is
the overall firing strength typically calculated?",By taking the maximum of the individual antecedent firing strengths.,By taking the sum of the individual antecedent firing strengths.,By taking the minimum of the individual antecedent firing strengths.,By taking the average of the individual antecedent firing strengths.,C,Lecture_W11L100_Lecture_53__Mamdani_Fuzzy_Model__Part_III_,Medium
Mock Exam 4,8,"What is the key difference in how the Larsen Fuzzy Model generates its output
membership function compared to the Mamdani Fuzzy Model?","Larsen uses defuzzification, while Mamdani does not.","Larsen scales the consequent fuzzy set, while Mamdani truncates (clips) it.","Larsen only accepts crisp inputs, while Mamdani accepts fuzzy inputs.","Larsen uses a weighted average for aggregation, while Mamdani uses max-min composition.",B,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 4,9,What is the defining characteristic of the Tsukamoto Fuzzy Model's consequent part?,It is always a crisp numerical value.,It is a fuzzy set with a monotonically increasing or decreasing membership function.,It is a polynomial function of the input variables.,It is a fuzzy set that is truncated by the firing strength.,B,Lecture_W12L109_Lecture_59__Tsukamoto_Fuzzy_Model,Medium
Mock Exam 4,10,Which of the following is a key feature of the TSK (Takagi-Sugeno-Kang) Fuzzy Model?,Both the premise and consequent parts are fuzzy sets.,It exclusively accepts fuzzy values as inputs.,The consequent part is a crisp mathematical polynomial function of the input variables.,It requires a complex defuzzification step similar to the Mamdani model.,C,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Medium
Mock Exam 4,11,"Which membership function is best suited for modeling concepts with a core range of
values that are all fully and equally true, with gradual fall-offs on either side?",Triangular Membership Function,Sigmoidal Membership Function,Pi-Shaped (π■) Function,Open Right Function,C,Lecture_W2L26_Lecture_6__Membership_Functions__Part_II_,Medium
Mock Exam 4,12,"For a fuzzy set A, its 'Core' is defined as the set of all elements x for which µA(x) is:",Greater than 0,Equal to 0.5,Equal to 1,Less than 1,C,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 4,13,"What is the result of applying a Strong Alpha-Cut (Aα+) to a fuzzy set A at a threshold
α?",A fuzzy set of all elements x where µA(x) ≥ α.,A crisp set of all elements x where µA(x) ≥ α.,A crisp set of all elements x where µA(x) > α.,A fuzzy set of all elements x where µA(x) > α.,C,Lecture_W2L28_Lecture_8__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 4,14,A fuzzy set is considered a 'Fuzzy Number' if it satisfies which two conditions?,It is subnormal and convex.,It is normal and non-convex.,It is normal and convex.,It is subnormal and non-convex.,C,Lecture_W2L29_Lecture_9__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 4,15,"Given fuzzy sets A and B, the fuzzy union (A ∪","`min(µA(x), µB(x))`","`max(µA(x), µB(x))`",`1 - µA(x)`,`µA(x) * µB(x)`,B,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Easy
Mock Exam 4,16,Which classical law of set theory is VIOLATED by fuzzy sets?,Law of Involution,Law of Idempotency,Law of Contradiction,Law of Commutativity,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Medium
Mock Exam 4,17,"Which of the following properties holds true for fuzzy sets using standard `max` and
`min` operators?",Absorption of Complement for Union: `A ∪ (A' ∩,∩ (A ∪,`,Law of Contradiction: `A ∩ A' = ∅`,C,Lecture_W3L37_Lecture_14__Properties_of_Fuzzy_Sets__Part_III_,Hard
Mock Exam 4,18,"The distance between two fuzzy sets A and B, `d(A,",A crisp number,A fuzzy set,An empty set,A probability distribution,B,Lecture_W4L43_Lecture_17__Distance_between_Fuzzy_Sets__Part_I_,Easy
Mock Exam 4,19,When performing fuzzy multiplication (C = A *,The resulting fuzzy set must be normal.,The resulting fuzzy set must be convex.,Each new generic variable `x_C` must fall within the predefined Universe of Discourse (Uo,The operation must be commutative.,C,Lecture_W5L50_Lecture_21__Arithmetic_Operations_on_Fuzzy_Numbers,Medium
Mock Exam 4,20,"Which of the following algebraic identities, true for crisp numbers, does NOT hold true
for fuzzy numbers?",`A + B = B + A`,² = A² + 2AB + B²`,`(A +,`A - B ≠ B - A`,C,Lecture_W5L51_Lecture_22__Arithmetic_Operations_on_Fuzzy_Numbers,Hard
Mock Exam 4,21,"What are the two fundamental axioms that any function `c` must satisfy to be
considered a valid fuzzy complement operator?",Commutativity and Associativity.,"Boundary Conditions (`c(0)=1, c(1)=0`) and Monotonicity.",Idempotency and Involution.,Distributivity and Absorption.,B,Lecture_W5L52_Lecture_23__Complement_of_Fuzzy_Sets,Medium
Mock Exam 4,22,"Which T-norm operator is the most restrictive, yielding a non-zero result only when at
least one of the fuzzy sets has a full membership grade of 1?",Minimum (T_min),Algebraic Product (T_ap),Bounded Product (T_bp),Drastic Product (T_dp),D,Lecture_W5L53_Lecture_24__T_norm_Operators,Medium
Mock Exam 4,23,"In parameterized S-norms, what is the general effect of increasing the parameter `w`
(for Yager's class) or `λ` (for Dombi's class)?","The resulting membership values of the union increase, making it more aggressive.","The resulting membership values of the union decrease, making it more restrictive.",The operator converges to the algebraic sum.,The operator converges to the drastic sum.,B,Lecture_W6L59_Lecture_27__Parameterized_S_Norm_Operators,Hard
Mock Exam 4,24,"What is the standard computational rule for determining the degree of membership for
an ordered pair `(x, y)` in a Fuzzy Cartesian Product `A × B`?","`max(µA(x), µB(y))`","`min(µA(x), µB(y))`",`µA(x) + µB(y)`,`µA(x) * µB(y)`,B,Lecture_W6L61_Lecture_29__Fuzzy_Relation__Part_II_,Easy
Mock Exam 4,25,"When performing a Projection of a fuzzy relation `R(x, y)` onto `A` (eliminating `y`), how
is the membership function `µ_RA(x)` calculated?","`min_y(µ_R(x, y))`","`sum_y(µ_R(x, y))`","`max_y(µ_R(x, y))`","`avg_y(µ_R(x, y))`",C,Lecture_W7L66_Lecture_31__Projection_of_Fuzzy_Relation_Set,Medium
Mock Exam 4,26,"Is the process of Projection followed by Cylindrical Extension a reversible operation in
fuzzy logic?","Yes, it always perfectly reconstructs the original fuzzy relation.","No, because information is lost during the projection step.",Only if the original fuzzy relation was a crisp set.,Only if the fuzzy relation is one-dimensional.,B,Lecture_W7L67_Lecture_32__Cylindrical_Extension_of_Fuzzy_Set,Medium
Mock Exam 4,27,"The Extension Principle resolves conflicts in many-to-one mappings by assigning
which membership value to the target element?",The minimum of the membership values from all source elements.,The average of the membership values from all source elements.,The maximum of the membership values from all source elements.,The product of the membership values from all source elements.,C,Lecture_W7L70_Lecture_35__Extension_Principle,Medium
Mock Exam 4,28,"Which property of fuzzy relation composition states that `R o (S1 ∩ S2) ⊆ (R o S1) ∩ (R
o S2)`?",Associativity,Distributivity over Union,Weak Distributivity over Intersection,Monotonicity,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Hard
Mock Exam 4,29,"A fuzzy relation `R` is classified as a Fuzzy Equivalence Relation if it satisfies which
three properties?","Reflexivity, Symmetry, and Anti-symmetry.","Reflexivity, Symmetry, and Transitivity.","Anti-reflexivity, Symmetry, and Transitivity.","Reflexivity, Anti-symmetry, and Transitivity.",B,Lecture_W8L77_Lecture_39__Fuzzy_Tolerance_and_Equivalence_Relati,Easy
Mock Exam 4,30,How is the linguistic hedge 'very' typically modeled mathematically in fuzzy logic?,By taking the square root of the membership function (`µ^0.5`).,By squaring the membership function (`µ^2`).,By taking the complement of the membership function (`1 - µ`).,By multiplying the membership function by a constant.,B,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Easy
Mock Exam 5,1,What is the core characteristic of fuzzy logic that distinguishes it from bivalent logic?,It only uses 0s and 1s.,It allows for degrees of truth between 0 and 1.,It exclusively deals with precise mathematical statements.,It is a subset of Boolean logic.,B,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Easy
Mock Exam 5,2,"In fuzzy set theory, what does a membership value of 1 for an element `x` in fuzzy set `A`
signify?",The element is not a member of the set.,The element is a full member of the set.,The element is a partial member of the set.,The element is at a crossover point.,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 5,3,"Which component of a Fuzzy Inference System (FIS) is responsible for converting a
crisp input into a fuzzy value?",Defuzzifier,Inference Engine,Fuzzifier,Fuzzy Rule Base,C,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Easy
Mock Exam 5,4,What is the primary operation used for fuzzy set union (`A ∪ B`)?,"`min(µA(x), µB(x))`","`max(µA(x), µB(x))`",`1 - µA(x)`,`µA(x) - µB(x)`,B,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Easy
Mock Exam 5,5,Which property of fuzzy sets states that `(A')' = A`?,Idempotency,Commutativity,Involution,Law of Excluded Middle,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Easy
Mock Exam 5,6,What is the default power `k` used for Normal Concentration of a fuzzy set?,0.5,1,2,8,C,Lecture_W9L84_Lecture_43__Concentration_and_Dilation___Composite,Easy
Mock Exam 5,7,"What is the standard operator used to determine the membership grade of an ordered
pair `(x, y)` in a fuzzy Cartesian product `A × B`?","`max(µA(x), µB(y))`","`min(µA(x), µB(y))`",`µA(x) + µB(y)`,`µA(x) * µB(y)`,B,Lecture_W6L61_Lecture_29__Fuzzy_Relation__Part_II_,Easy
Mock Exam 5,8,A fuzzy set is considered 'Normal' if its height is equal to what value?,0,0.5,1,Any value greater than 0,C,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Easy
Mock Exam 5,9,"In the Mamdani Fuzzy Model, what type of output is produced by each rule's implication
step?",A crisp numerical value,A fuzzy set,A Boolean value (True/False),A probability distribution,B,Lecture_W11L98_Lecture_51__Mamdani_Fuzzy_Model__Part_I_,Easy
Mock Exam 5,10,"Which of the following is a key characteristic of the TSK Fuzzy Model's consequent
part?",It is always a triangular membership function.,It is a fuzzy set with monotonic membership.,It is a crisp mathematical polynomial function of the input variables.,It is always a constant value.,C,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Easy
Mock Exam 5,11,"According to the lecture, which of the following is NOT a scenario where fuzzy logic is
generally recommended?",When the underlying physical laws are unknown (black box models).,"When the system involves human reasoning, language, or perception.",When a precise and complete mathematical model of the system already exists (white box models).,For highly complex or non-linear systems.,C,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Medium
Mock Exam 5,12,"Given a discrete fuzzy set `A = {0.2/10, 0.7/20, 1.0/30, 0.5/40}`, what is its Core?","`{10, 20, 30, 40}`",`{30}`,`{1.0/30}`,"`{0.7/20, 1.0/30}`",B,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 5,13,"If fuzzy set `A = {0.6/x1, 0.9/x2}` and fuzzy set `B = {0.8/x1, 0.7/x2}`, what is `A ∩ B` using
the standard fuzzy intersection?","`{0.6/x1, 0.7/x2}`","`{0.8/x1, 0.9/x2}`","`{0.48/x1, 0.63/x2}`","`{1.4/x1, 1.6/x2}`",A,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Medium
Mock Exam 5,14,Which two fundamental laws of classical set theory are VIOLATED by fuzzy sets?,Commutativity and Associativity,Idempotency and Involution,Law of Contradiction and Law of Excluded Middle,Distributivity and De Morgan's Laws,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Medium
Mock Exam 5,15,"What is the primary difference in how the Larsen Fuzzy Model generates its output
fuzzy set compared to the Mamdani Fuzzy Model?","Larsen uses a crisp output, while Mamdani uses a fuzzy output.","Larsen truncates the consequent fuzzy set, while Mamdani scales it.","Larsen scales the consequent fuzzy set, while Mamdani truncates it.","Larsen uses the product operator, while Mamdani uses the min operator for implication.",C,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 5,16,"What is the purpose of the `max` operation in the formula for calculating the
membership grade of a fuzzy distance `µ_d(A,",To find the weakest link between elements.,To sum all possible distances.,To aggregate the strongest evidence from all contributing element pairs for a specific `δ`.,To ensure the distance is always a crisp number.,C,Lecture_W4L44_Lecture_18__Distance_between_Fuzzy_Sets__Part_II_,Medium
Mock Exam 5,17,"Which of the following is a property that a function must satisfy to be considered a
valid T-norm operator?",It must be non-monotonic.,"It must satisfy `T(a, 0) = a`.",It must be associative.,It must be non-commutative.,C,Lecture_W5L53_Lecture_24__T_norm_Operators,Medium
Mock Exam 5,18,"When applying the Extension Principle, if multiple `x` values map to the same `y` value,
how is the membership of `y` in the new fuzzy set `B` determined?",By taking the average of the membership values from all contributing `x` values.,By taking the minimum of the membership values from all contributing `x` values.,By taking the maximum of the membership values from all contributing `x` values.,By discarding the `y` value as ambiguous.,C,Lecture_W7L70_Lecture_35__Extension_Principle,Medium
Mock Exam 5,19,"What are the two properties a fuzzy relation must satisfy to be classified as a Fuzzy
Tolerance Relation?",Reflexivity and Transitivity,Symmetry and Transitivity,Reflexivity and Symmetry,Anti-reflexivity and Anti-symmetry,C,Lecture_W8L76_Lecture_38__Fuzzy_Tolerance_and_Equivalence_Relati,Medium
Mock Exam 5,20,"In the context of linguistic hedges, what mathematical operation corresponds to the
hedge 'more or less'?",Squaring the membership function.,Taking the complement of the membership function.,Taking the square root of the membership function.,Multiplying the membership function by a constant greater than 1.,C,Lecture_W9L83_Lecture_42__Linguistic_Hedges_and_Negation__Comple,Medium
Mock Exam 5,21,"A fuzzy set `A` is defined as `A = {0.3/1, 0.6/2, 0.9/3}`. If this set is normalized, what will
be the new membership value for the element `1`?",0.3,0.1,0.333,0.6,C,Lecture_W2L28_Lecture_8__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 5,22,"What is the primary method used in the Tsukamoto Fuzzy Model to aggregate the crisp
outputs from all applicable rules?",Centroid of Area,Maximum of the outputs,Weighted average,Summation of outputs,C,Lecture_W12L109_Lecture_59__Tsukamoto_Fuzzy_Model,Medium
Mock Exam 5,23,"Given fuzzy relations R1 (on X×Y) and R2 (on Y×Z), which of the following statements
about Max-Min Composition `R1 o R2` is TRUE?","The resulting relation `R'` will be on X×Z and its elements are calculated as `min_y [ max(µ_R1(x, y),
µ_R2(y, z)) ]`.","The resulting relation `R'` will be on X×Z and its elements are calculated as `max_y [ min(µ_R1(x, y),
µ_R2(y, z)) ]`.","The resulting relation `R'` will be on Y×Z and its elements are calculated as `max_y [ min(µ_R1(x, y),
µ_R2(y, z)) ]`.",The composition is only possible if the number of rows in R1 equals the number of columns in R2.,B,Lecture_W8L74_Lecture_36__Composition_of_Fuzzy_Relations,Hard
Mock Exam 5,24,"Consider the statement: `R o (S1 ∩ S2) = (R o S1) ∩ (R o S2)`. According to the lecture,
how does this property behave for fuzzy relations using max-min composition?",It holds true as an equality.,It holds true as an equality only if R is a crisp relation.,"It is a 'weak' distributivity, where `R o (S1 ∩ S2) ⊆ (R o S1) ∩ (R o S2)`.",It is completely violated and no inclusion relationship exists.,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Hard
Mock Exam 5,25,"You are given a fuzzy relation `R` that is reflexive and symmetric but fails the
transitivity test. What is the method described in the lecture to convert `R` into a Fuzzy
Equivalence Relation?",Applying the complement operation repeatedly until it becomes transitive.,"Performing iterative self-composition (`R ■ R`, `R² ■ R`, etc.) using max-min composition.",Normalizing the fuzzy relation to ensure all membership values are 1.,Projecting the fuzzy relation onto a lower dimension.,B,Lecture_W8L78_Lecture_40__Fuzzy_Tolerance_and_Equivalence_Relati,Hard
Mock Exam 5,26,"In the context of fuzzy arithmetic, what is a key difference between fuzzy addition and
fuzzy multiplication regarding the properties of the resulting fuzzy set?",Both operations always result in a fuzzy number.,"Fuzzy addition is commutative, but fuzzy multiplication is not.","Fuzzy multiplication may not always result in a fuzzy number (e.g., it might not be normal), while
addition typically does.",Both operations are non-commutative.,C,Lecture_W5L51_Lecture_22__Arithmetic_Operations_on_Fuzzy_Numbers,Hard
Mock Exam 5,27,"A fuzzy set `A` is defined by `µA(x)`. If you apply Contrast Intensification (INT) to `A`,
what happens to `µA(x)` values that are less than 0.5?","They are increased, pushing them closer to 1.","They are decreased, pushing them closer to 0.",They remain unchanged.,They are set to 0.5.,B,Lecture_W10L90_Lecture_46__Contrast_Intensification_of_Fuzzy_Sets,Hard
Mock Exam 5,28,"Which of the following statements accurately describes the behavior of Yager's Class
of S-Norm (`S_w(a, b)`) as the parameter `w` increases?","The resulting membership grade of the union increases, making it more aggressive.","The resulting membership grade of the union decreases, making it more restrictive.",The behavior is unpredictable and non-monotonic.,It converges to the algebraic product as `w` increases.,B,Lecture_W6L59_Lecture_27__Parameterized_S_Norm_Operators,Hard
Mock Exam 5,29,What is the primary purpose of Cylindrical Extension in fuzzy logic?,To reduce the dimensionality of a fuzzy set.,To combine two fuzzy sets using the max-min composition.,"To expand a fuzzy set into a higher-dimensional space, making its membership independent of the
new dimension(s).",To convert a fuzzy set into a crisp value.,C,Lecture_W7L67_Lecture_32__Cylindrical_Extension_of_Fuzzy_Set,Hard
Mock Exam 5,30,"A fuzzy term set `{t1, t2, t3}` is defined over a universe `X`. If this term set is orthogonal,
what must be true for any element `x ∈ X`?","The maximum membership grade of `x` across all fuzzy sets `t1, t2, t3` is 1.","The sum of its membership grades across all fuzzy sets `t1, t2, t3` is exactly 1.","The minimum membership grade of `x` across all fuzzy sets `t1, t2, t3` is 0.","All fuzzy sets `t1, t2, t3` must be subnormal.",B,Lecture_W10L91_Lecture_47__Orthogonality_of_Fuzzy_Sets,Hard
